# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:06:03.155157500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	The Duane-Hunt (19.65 keV) for KCl std differs by more than 1 % from the beam energy (20.00 keV)!!
#	The Duane-Hunt (19.63 keV) for KBr std differs by more than 1 % from the beam energy (20.00 keV)!!
#
# Spectrum
#	SPI MM1dup Kaersutite[0][all]['SPI MM1 Kaersutite[0][4].msa']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01871 ± 0.00042' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1dup Kaersutite[7][all],Na,11,22.98976928,0.01919,0.00008,0.01923,0.00080,0.01877,0.00110
SPI MM1dup Kaersutite[7][all],Mg,12,24.305,0.07762,0.00037,0.07776,0.00326,0.07183,0.00421
SPI MM1dup Kaersutite[7][all],Al,13,26.9815384,0.06870,0.00026,0.06883,0.00288,0.05727,0.00335
SPI MM1dup Kaersutite[7][all],Si,14,28.085,0.18896,0.00052,0.18930,0.00790,0.15132,0.00885
SPI MM1dup Kaersutite[7][all],K,19,39.0983,0.00874,0.00003,0.00875,0.00037,0.00503,0.00029
SPI MM1dup Kaersutite[7][all],Ca,20,40.078,0.08709,0.00009,0.08725,0.00363,0.04887,0.00286
SPI MM1dup Kaersutite[7][all],Ti,22,47.867,0.03269,0.00005,0.03275,0.00137,0.01536,0.00090
SPI MM1dup Kaersutite[7][all],Mn,25,54.938043,0.00104,0.00003,0.00104,0.00005,0.00042,0.00003
SPI MM1dup Kaersutite[7][all],Fe,26,55.845,0.09138,0.00008,0.09155,0.00381,0.03680,0.00215
# Notes
#	Analytical total: 0.998 ± 0.042
#	Residual written to SPI MM1 Kaersutite[7][4][residual].msa.
#
# Spectrum
#	Sum[8 spectra]['Sum spectrum']
#
# Fit Warnings
#	Removing F from the fit and re-fitting (threshold = 0.0σ).
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.01795 ± 0.00015' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
Sum[8 spectra],O,8,15.999,0.42115,0.04137,0.42250,0.02397,0.59350,0.02370
Sum[8 spectra],F,9,18.998403163,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001
Sum[8 spectra],Na,11,22.98976928,0.01894,0.00006,0.01900,0.00079,0.01858,0.00108
Sum[8 spectra],Mg,12,24.305,0.07728,0.00036,0.07752,0.00323,0.07168,0.00419
Sum[8 spectra],Al,13,26.9815384,0.06905,0.00025,0.06927,0.00288,0.05770,0.00337
Sum[8 spectra],Si,14,28.085,0.18875,0.00051,0.18936,0.00787,0.15153,0.00884
Sum[8 spectra],K,19,39.0983,0.00872,0.00001,0.00875,0.00036,0.00503,0.00029
Sum[8 spectra],Ca,20,40.078,0.08706,0.00008,0.08734,0.00363,0.04897,0.00286
Sum[8 spectra],Ti,22,47.867,0.03264,0.00003,0.03275,0.00136,0.01537,0.00090
Sum[8 spectra],Mn,25,54.938043,0.00128,0.00001,0.00129,0.00005,0.00053,0.00003
Sum[8 spectra],Fe,26,55.845,0.09193,0.00004,0.09223,0.00383,0.03712,0.00216
# Notes
#	Analytical total: 0.997 ± 0.041
#
