Name,Formula,Mass Fractions,Comment
NIST K251,0.230219*O+0.013231*Al+0.14024*Si+0.089563*Ba+0.040948*Ta+0.44095*Pb+0.04485*Bi,"Pb:0.44095, O:0.23022, Si:0.14024, Ba:0.08956, Bi:0.04485, Ta:0.04095, Al:0.01323",-
NIST K251,0.230219*O+0.013231*Al+0.14024*Si+0.089563*Ba+0.040948*Ta+0.44095*Pb+0.04485*Bi,"Pb:0.44095, O:0.23022, Si:0.14024, Ba:0.08956, Bi:0.04485, Ta:0.04095, Al:0.01323",-
NIST K252,0.308345*O+0.186986*Si+0.031597*Mn+0.039323*Co+0.039942*Cu+0.080337*Zn+0.31347*Ba,"Ba:0.31347, O:0.30834, Si:0.18699, Zn:0.08034, Cu:0.03994, Co:0.03932, Mn:0.03160",-
NIST K252,0.308345*O+0.186986*Si+0.031597*Mn+0.039323*Co+0.039942*Cu+0.080337*Zn+0.31347*Ba,"Ba:0.31347, O:0.30834, Si:0.18699, Zn:0.08034, Cu:0.03994, Co:0.03932, Mn:0.03160",-
NIST K2523,0.046452*Li+0.031074*B+0.381392*O+0.186986*Si+0.131308*Cd+0.083539*Sb+0.139247*Pb,"O:0.38139, Si:0.18699, Pb:0.13925, Cd:0.13131, Sb:0.08354, Li:0.04645, B:0.03107",-
NIST K253,0.316381*O+0.186986*Si+0.063193*Mn+0.019662*Co+0.019971*Cu+0.080337*Zn+0.31347*Ba,"O:0.31638, Ba:0.31347, Si:0.18699, Zn:0.08034, Mn:0.06319, Cu:0.01997, Co:0.01966",-
NIST K2536,0.291367*O+0.116866*Si+0.161865*Ti+0.429902*Ba,"Ba:0.42990, O:0.29137, Ti:0.16187, Si:0.11687",-
NIST K2538,0.297968*O+0.14024*Si+0.13189*Ti+0.429902*Ba,"Ba:0.42990, O:0.29797, Si:0.14024, Ti:0.13189",-
NIST K2539,0.30457*O+0.163613*Si+0.101915*Ti+0.429902*Ba,"Ba:0.42990, O:0.30457, Si:0.16361, Ti:0.10192",-
NIST K2554,0.388731*O+0.105845*Al+0.14024*Si+0.142939*Ca+0.029975*Ti+0.031597*Mn+0.160673*Zn,"O:0.38873, Zn:0.16067, Ca:0.14294, Si:0.14024, Al:0.10584, Mn:0.03160, Ti:0.02998",-
NIST K2555,0.405832*O+0.079384*Al+0.163613*Si+0.107204*Ca+0.029975*Ti+0.069944*Fe+0.039942*Cu+0.104107*Ge,"O:0.40583, Si:0.16361, Ca:0.10720, Ge:0.10411, Al:0.07938, Fe:0.06994, Cu:0.03994, Ti:0.02998",-
NIST K256,0.025944*Be+0.013362*B+0.412906*O+0.179408*Al+0.050486*Si+0.22227*Ca+0.039976*Zr+0.025166*Nb+0.029483*Ta,"O:0.41291, Ca:0.22227, Al:0.17941, Si:0.05049, Zr:0.03998, Ta:0.02948, Be:0.02594, Nb:0.02517, B:0.01336",-
NIST K2563,0.43434*O+0.195285*Al+0.152394*Si+0.217981*Ca,"O:0.43434, Ca:0.21798, Al:0.19528, Si:0.15239",-
NIST K2566,0.461709*O+0.111278*Na+0.34125*Si+0.085763*Ca,"O:0.46171, Si:0.34125, Na:0.11128, Ca:0.08576",-
NIST K2573,0.339309*O+0.073072*Na+0.223075*Si+0.034625*Zn+0.072725*Ba+0.257194*Nd,"O:0.33931, Nd:0.25719, Si:0.22307, Na:0.07307, Ba:0.07272, Zn:0.03463",-
NIST K2575,0.336238*O+0.073072*Na+0.223075*Si+0.034625*Zn+0.072725*Ba+0.260265*Gd,"O:0.33624, Gd:0.26027, Si:0.22307, Na:0.07307, Ba:0.07272, Zn:0.03463",-
NIST K2577,0.367582*O+0.060308*Mg+0.105845*Al+0.14024*Si+0.080337*Zn+0.245689*Ta,"O:0.36758, Ta:0.24569, Si:0.14024, Al:0.10584, Zn:0.08034, Mg:0.06031",-
NIST K2580,0.046452*Li+0.355934*O+0.186986*Si+0.069404*Ge+0.07403*Zr+0.089563*Ba+0.084798*Hf+0.092832*Pb,"O:0.35593, Si:0.18699, Pb:0.09283, Ba:0.08956, Hf:0.08480, Zr:0.07403, Ge:0.06940, Li:0.04645",-
NIST K2589,0.092905*Li+0.051272*B+0.516297*O+0.018523*Al+0.229058*Si+0.007147*Ca+0.084798*U,"O:0.51630, Si:0.22906, Li:0.09291, U:0.08480, B:0.05127, Al:0.01852, Ca:0.00715",-
NIST K2591,0.092905*Li+0.051272*B+0.514487*O+0.018523*Al+0.229058*Si+0.008956*Ba+0.084798*U,"O:0.51449, Si:0.22906, Li:0.09291, U:0.08480, B:0.05127, Al:0.01852, Ba:0.00896",-
NIST K2598,0.356281*O+0.229886*P+0.413834*Er,"Er:0.41383, O:0.35628, P:0.22989",-
NIST K2612,0.337787*O+0.073072*Na+0.223075*Si+0.034625*Zn+0.072725*Ba+0.258716*Sm,"O:0.33779, Sm:0.25872, Si:0.22307, Na:0.07307, Ba:0.07272, Zn:0.03463",-
NIST K2618,0.320855*O+0.060308*Mg+0.079384*Al+0.14024*Si+0.134344*Ba+0.264869*Ta,"O:0.32086, Ta:0.26487, Si:0.14024, Ba:0.13434, Al:0.07938, Mg:0.06031",-
NIST K2621,0.343086*O+0.075385*Mg+0.186986*Si+0.089337*Ca+0.100421*Zn+0.111954*Ba+0.092832*Pb,"O:0.34309, Si:0.18699, Ba:0.11195, Zn:0.10042, Pb:0.09283, Ca:0.08934, Mg:0.07538",-
